,Example name,#reads,Annealing time $(\mu s)$,Annealing sampling time $(s)$,Success prob,TTS
182,hypergraph_not_selfdual_2025_09_29_18_45_40_9_1,10000,200,3.281,0.0,inf
183,hypergraph_not_selfdual_2025_09_29_18_45_53_6_0,10000,20,1.2743,0.0641,0.008858363009117153
184,hypergraph_not_selfdual_2025_09_29_18_46_33_6_0,10000,20,1.2815,0.0355,0.016327161904283356
185,hypergraph_not_selfdual_2025_09_29_18_46_09_9_0,10000,20,1.4048,0.0,inf
186,hypergraph_not_selfdual_2025_09_29_18_45_47_8_0,10000,20,1.3515,0.0123,0.050288875155841434
187,hypergraph_not_selfdual_2025_09_29_18_46_27_8_0,10000,20,1.21825,1.0,0.000121825
188,hypergraph_not_selfdual_2025_09_29_18_46_23_6_0,10000,100,2.08235,0.0576,0.016164350269212455
189,hypergraph_not_selfdual_2025_09_29_18_45_28_8_1,10000,5,1.2011,0.0014,0.3948140798128194
190,hypergraph_not_selfdual_2025_09_29_18_46_01_5_0,10000,200,3.0402,0.1988,0.0063167041515476635
191,hypergraph_not_selfdual_2025_09_29_18_46_28_8_1,10000,100,2.1309,0.0012,0.8172723397288884
192,hypergraph_not_selfdual_2025_09_29_18_46_13_6_0,10000,5,1.1495,0.0451,0.01147085004125181
193,hypergraph_not_selfdual_2025_09_29_18_46_09_9_0,10000,200,3.2536,0.0005,2.995927111894274
194,hypergraph_not_selfdual_2025_09_29_18_45_56_7_1,10000,100,2.07275,0.0077,0.12348791555118044
195,hypergraph_not_selfdual_2025_09_29_18_45_25_7_0,10000,200,3.1316,0.0101,0.14206533568143262
196,hypergraph_not_selfdual_2025_09_29_18_46_58_8_1,10000,5,1.16305,0.0118,0.04512186451383246
197,hypergraph_not_selfdual_2025_09_29_18_46_05_7_0,10000,200,3.07555,0.0066,0.21388848877330233
198,hypergraph_not_selfdual_2025_09_29_18_46_57_8_0,10000,100,1.98395,1.0,0.000198395
199,hypergraph_not_selfdual_2025_09_29_18_45_21_5_0,10000,200,3.0381,0.182,0.006964389777132253
200,hypergraph_not_selfdual_2025_09_29_18_45_29_9_0,10000,200,3.1846,0.01,0.1459217402091921
201,hypergraph_not_selfdual_2025_09_29_18_46_03_6_0,10000,200,3.0302,0.0551,0.02462160891678403
202,hypergraph_not_selfdual_2025_09_29_18_46_40_9_1,10000,100,2.2464,0.0025,0.4132847037250701
203,hypergraph_not_selfdual_2025_09_29_18_45_39_9_0,10000,20,1.4084,0.0,inf
