,Example name,#reads,Annealing time $(\mu s)$,Annealing sampling time $(s)$,Success prob,TTS
603,hypergraph_not_selfdual_2026_02_26_08_12_36_10_1,15000,200,5.615340000000001,0.0010666666666666667,1.6153626321427483
604,hypergraph_not_selfdual_2026_02_26_08_12_18_10_1,15000,100,3.83828,0.0017333333333333333,0.6792541942499732
605,hypergraph_not_selfdual_2026_02_26_08_13_28_11_2,15000,5,2.87552,0.0010666666666666667,0.8271996986788183
606,hypergraph_not_selfdual_2026_02_26_08_12_56_11_1,15000,5,2.84724,0.0002666666666666667,3.27756910316872
607,hypergraph_not_selfdual_2026_02_26_08_12_49_10_2,15000,200,5.40038,0.003,0.5518299063393214
608,hypergraph_not_selfdual_2026_02_26_08_13_10_12_1,15000,200,6.50488,6.666666666666667e-05,29.955080892356982
609,hypergraph_not_selfdual_2026_02_26_08_12_57_11_2,15000,5,2.72086,0.0007333333333333333,1.1386753135104135
610,hypergraph_not_selfdual_2026_02_26_08_13_09_11_2,15000,200,5.93308,0.005066666666666666,0.3585995612977628
611,hypergraph_not_selfdual_2026_02_26_08_13_17_12_1,15000,100,4.94468,0.00013333333333333334,11.38478740432794
612,hypergraph_not_selfdual_2026_02_26_08_13_07_10_2,15000,200,5.21762,0.0007333333333333333,2.183565155604553
613,hypergraph_not_selfdual_2026_02_26_08_12_45_11_2,15000,5,2.96622,0.0005333333333333334,1.707038116553346
614,hypergraph_not_selfdual_2026_02_26_08_12_14_11_1,15000,5,3.18134,0.0004,2.441280300281416
615,hypergraph_not_selfdual_2026_02_26_08_11_58_12_1,15000,100,5.0313,0.0,inf
616,hypergraph_not_selfdual_2026_02_26_08_13_20_10_2,15000,5,2.4494,0.0020666666666666667,0.3634917398047188
617,hypergraph_not_selfdual_2026_02_26_08_11_54_10_1,15000,100,3.81042,0.0016,0.7305662803139741
618,hypergraph_not_selfdual_2026_02_26_08_12_48_10_1,15000,20,2.5006399999999998,0.0002,3.8382403827410183
619,hypergraph_not_selfdual_2026_02_26_08_12_10_12_1,15000,100,5.0511800000000004,0.0004,3.8761484868563194
620,hypergraph_not_selfdual_2026_02_26_08_12_09_11_2,15000,20,3.2835599999999996,0.0005333333333333334,1.88966498708454
621,hypergraph_not_selfdual_2026_02_26_08_12_19_10_2,15000,200,5.29032,0.007533333333333334,0.2147870942240852
622,hypergraph_not_selfdual_2026_02_26_08_11_54_10_1,15000,200,5.34254,0.0016,1.0243174178249692
623,hypergraph_not_selfdual_2026_02_26_08_12_36_10_1,15000,5,2.3800600000000003,0.0007333333333333333,0.9960510892414881
624,hypergraph_not_selfdual_2026_02_26_08_12_21_11_2,15000,200,5.824400000000001,6.666666666666667e-05,26.821459142896416
625,hypergraph_not_selfdual_2026_02_26_08_13_28_11_2,15000,100,4.3934,0.0006,2.247364931284136
626,hypergraph_not_selfdual_2026_02_26_08_12_26_11_1,15000,5,2.87928,0.009133333333333334,0.0963425529895039
627,hypergraph_not_selfdual_2026_02_26_08_12_48_10_1,15000,100,3.7694,0.0002666666666666667,4.339103474762989
628,hypergraph_not_selfdual_2026_02_26_08_12_04_12_1,15000,5,1.3552000000000004,0.9967333333333334,7.268743061163416e-05
629,hypergraph_not_selfdual_2026_02_26_08_12_14_11_1,15000,200,5.86862,0.0024666666666666665,0.7295310291269438
630,hypergraph_not_selfdual_2026_02_26_08_12_38_11_1,15000,100,4.26734,0.0003333333333333333,3.929710290998929
631,hypergraph_not_selfdual_2026_02_26_08_12_10_12_1,15000,5,3.73674,0.00046666666666666666,2.457758293271822
632,hypergraph_not_selfdual_2026_02_26_08_12_45_11_2,15000,100,4.31456,0.0,inf
633,hypergraph_not_selfdual_2026_02_26_08_12_07_10_2,15000,20,2.47556,0.00046666666666666666,1.628244973022472
634,hypergraph_not_selfdual_2026_02_26_08_13_01_10_2,15000,20,2.6667799999999997,0.0007333333333333333,1.1160429248705557
635,hypergraph_not_selfdual_2026_02_26_08_13_16_11_2,15000,20,3.3691199999999997,0.0006666666666666666,1.551019861185465
636,hypergraph_not_selfdual_2026_02_26_08_12_31_10_2,15000,200,5.18944,0.0003333333333333333,4.7788542212529315
637,hypergraph_not_selfdual_2026_02_26_08_12_32_11_1,15000,5,3.1308800000000003,0.0003333333333333333,2.8831664118356466
638,hypergraph_not_selfdual_2026_02_26_08_12_40_12_1,15000,200,6.482799999999999,0.00046666666666666666,4.263918673395143
639,hypergraph_not_selfdual_2026_02_26_08_12_57_11_2,15000,100,4.3748,0.00013333333333333334,10.072677693289329
